EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on 27-06-2022
THESE DATA CAN BE USED FREELY PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED:

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE IS -9999):

01-06 SOUID: Source identifier
08-15 DATE : Date YYYYMMDD
17-21 PP   : daily Sea level pressure in 0.1 hPa
23-27 Q_PP : quality code for PP (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station GERMANY, TRIER-PETRISBERG (STAID: 2760).
Blended and updated with sources: 111473 910609 
See file sources.txt and stations.txt for more info.

 SOUID,    DATE,   PP, Q_PP
111473,19491005,10216,    0
111473,19491006,10195,    0
111473,19491007,10175,    0
111473,19491008,10122,    0
111473,19491009,10133,    0
111473,19491010,10193,    0
111473,19491011,10230,    0
111473,19491012,10278,    0
111473,19491013,10307,    0
111473,19491014,10263,    0
111473,19491015,10222,    0
111473,19491016,10179,    0
111473,19491017,10159,    0
111473,19491018,10188,    0
111473,19491019,10133,    0
111473,19491020,10146,    0
111473,19491021,10097,    0
111473,19491022,10163,    0
111473,19491023,10136,    0
111473,19491024,10098,    0
111473,19491025,10130,    0
111473,19491026,10079,    0
111473,19491027,10233,    0
111473,19491028,10321,    0
111473,19491029,10281,    0
111473,19491030,10297,    0
111473,19491031,10326,    0
111473,19491101,10323,    0
111473,19491102,10326,    0
111473,19491103,10321,    0
111473,19491104,10307,    0
111473,19491105,10134,    0
111473,19491106, 9957,    0
111473,19491107, 9955,    0
111473,19491108,10016,    0
111473,19491109,10133,    0
111473,19491110,10108,    0
111473,19491111,10112,    0
111473,19491112,10073,    0
111473,19491113,10084,    0
111473,19491114,10167,    0
111473,19491115,10241,    0
111473,19491116,10207,    0
111473,19491117,10142,    0
111473,19491118,10072,    0
111473,19491119,10068,    0
111473,19491120,10087,    0
111473,19491121,10110,    0
111473,19491122,10046,    0
111473,19491123, 9952,    0
111473,19491124, 9947,    0
111473,19491125,10016,    0
111473,19491126,10015,    0
111473,19491127, 9976,    0
111473,19491128,10061,    0
111473,19491129,10208,    0
111473,19491130,10252,    0
111473,19491201,10205,    0
111473,19491202,10119,    0
111473,19491203,10122,    0
111473,19491204,10065,    0
111473,19491205,10090,    0
111473,19491206,10143,    0
111473,19491207,10138,    0
111473,19491208,10043,    0
111473,19491209,10018,    0
111473,19491210,10084,    0
111473,19491211,10197,    0
111473,19491212,10246,    0
111473,19491213,10270,    0
111473,19491214,10166,    0
111473,19491215,10054,    0
111473,19491216,10147,    0
111473,19491217,10005,    0
111473,19491218,10090,    0
111473,19491219,10068,    0
111473,19491220,10162,    0
111473,19491221,10212,    0
111473,19491222,10323,    0
111473,19491223,10346,    0
111473,19491224,10322,    0
111473,19491225,10242,    0
111473,19491226,10175,    0
111473,19491227,10217,    0
111473,19491228,10238,    0
111473,19491229,10184,    0
111473,19491230,10163,    0
111473,19491231,10237,    0
111473,19500101,10321,    0
111473,19500102,10252,    0
111473,19500103,10149,    0
111473,19500104,10126,    0
111473,19500105,10103,    0
111473,19500106,10126,    0
111473,19500107,10197,    0
111473,19500108,10223,    0
111473,19500109,10183,    0
111473,19500110,10277,    0
111473,19500111,10318,    0
111473,19500112,10338,    0
111473,19500113,10319,    0
111473,19500114,10305,    0
111473,19500115,10275,    0
