EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on 27-06-2022
THESE DATA CAN BE USED FREELY PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED:

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE IS -9999):

01-06 SOUID: Source identifier
08-15 DATE : Date YYYYMMDD
17-21 FG   : daily Wind speed in 0.1 m/s
23-27 Q_FG : quality code for FG (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station GERMANY, TRIER-PETRISBERG (STAID: 2760).
Blended and updated with sources: 115695 910609 
See file sources.txt and stations.txt for more info.

 SOUID,    DATE,   FG, Q_FG
115695,19370924,   14,    0
115695,19370925,   12,    0
115695,19370926,   17,    0
115695,19370927,   21,    0
115695,19370928,   30,    0
115695,19370929,   14,    0
115695,19370930,   27,    0
115695,19371001,   20,    0
115695,19371002,   24,    0
115695,19371003,   11,    0
115695,19371004,   30,    0
115695,19371005,   40,    0
115695,19371006,   39,    0
115695,19371007,   35,    0
115695,19371008,   13,    0
115695,19371009,   14,    0
115695,19371010,   10,    0
115695,19371011,   14,    0
115695,19371012,   10,    0
115695,19371013,    8,    0
115695,19371014,   28,    0
115695,19371015,   18,    0
115695,19371016,   10,    0
115695,19371017,    8,    0
115695,19371018,   28,    0
115695,19371019,   23,    0
115695,19371020,    8,    0
115695,19371021,   11,    0
115695,19371022,   26,    0
115695,19371023,   69,    0
115695,19371024,   69,    0
115695,19371025,   42,    0
115695,19371026,   24,    0
115695,19371027,   17,    0
115695,19371028,-9999,    9
115695,19371029,-9999,    9
115695,19371030,-9999,    9
115695,19371031,-9999,    9
115695,19371101,-9999,    9
115695,19371102,-9999,    9
115695,19371103,-9999,    9
115695,19371104,-9999,    9
115695,19371105,   57,    0
115695,19371106,   46,    0
115695,19371107,   18,    0
115695,19371108,   11,    0
115695,19371109,   19,    0
115695,19371110,   38,    0
115695,19371111,   27,    0
115695,19371112,   35,    0
115695,19371113,   20,    0
115695,19371114,   29,    0
115695,19371115,   49,    0
115695,19371116,   31,    0
115695,19371117,   58,    0
115695,19371118,   30,    0
115695,19371119,   64,    0
115695,19371120,   87,    0
115695,19371121,   23,    0
115695,19371122,   16,    0
115695,19371123,   15,    0
115695,19371124,   15,    0
115695,19371125,   29,    0
115695,19371126,   13,    0
115695,19371127,   16,    0
115695,19371128,   15,    0
115695,19371129,   12,    0
115695,19371130,   22,    0
115695,19371201,   42,    0
115695,19371202,   73,    0
115695,19371203,   47,    0
115695,19371204,   21,    0
115695,19371205,  100,    0
115695,19371206,   54,    0
115695,19371207,   28,    0
115695,19371208,   34,    0
115695,19371209,   82,    0
115695,19371210,   32,    0
115695,19371211,   81,    0
115695,19371212,   67,    0
115695,19371213,   68,    0
115695,19371214,   74,    0
115695,19371215,   47,    0
115695,19371216,   13,    0
115695,19371217,   12,    0
115695,19371218,   35,    0
115695,19371219,   38,    0
115695,19371220,   16,    0
115695,19371221,   10,    0
115695,19371222,    5,    0
115695,19371223,   17,    0
115695,19371224,   15,    0
115695,19371225,   26,    0
115695,19371226,   34,    0
115695,19371227,   56,    0
115695,19371228,   41,    0
115695,19371229,   49,    0
115695,19371230,   57,    0
115695,19371231,   27,    0
115695,19380101,   37,    0
115695,19380102,   14,    0
115695,19380103,   51,    0
115695,19380104,   20,    0
115695,19380105,   16,    0
115695,19380106,   50,    0
115695,19380107,   83,    0
115695,19380108,   60,    0
115695,19380109,   91,    0
115695,19380110,  112,    0
115695,19380111,   79,    0
115695,19380112,   93,    0
115695,19380113,  114,    0
115695,19380114,   65,    0
115695,19380115,  109,    0
115695,19380116,   98,    0
115695,19380117,   86,    0
115695,19380118,   35,    0
115695,19380119,   53,    0
115695,19380120,   33,    0
115695,19380121,   27,    0
115695,19380122,   22,    0
115695,19380123,   24,    0
115695,19380124,   50,    0
115695,19380125,   66,    0
115695,19380126,   60,    0
115695,19380127,   57,    0
115695,19380128,   88,    0
115695,19380129,  108,    0
115695,19380130,   75,    0
115695,19380131,   76,    0
115695,19380201,  115,    0
115695,19380202,   56,    0
115695,19380203,   45,    0
115695,19380204,   21,    0
115695,19380205,   24,    0
115695,19380206,   13,    0
115695,19380207,   38,    0
115695,19380208,    9,    0
115695,19380209,   41,    0
115695,19380210,  102,    0
115695,19380211,   74,    0
115695,19380212,   63,    0
115695,19380213,   68,    0
115695,19380214,   94,    0
115695,19380215,   77,    0
115695,19380216,   71,    0
115695,19380217,   60,    0
115695,19380218,   89,    0
115695,19380219,   62,    0
115695,19380220,   57,    0
115695,19380221,   41,    0
115695,19380222,   33,    0
115695,19380223,   54,    0
115695,19380224,   41,    0
115695,19380225,   24,    0
115695,19380226,   47,    0
115695,19380227,   72,    0
115695,19380228,   79,    0
115695,19380301,   66,    0
115695,19380302,   28,    0
115695,19380303,   24,    0
115695,19380304,   21,    0
115695,19380305,   21,    0
115695,19380306,   12,    0
115695,19380307,   18,    0
115695,19380308,   17,    0
115695,19380309,   45,    0
115695,19380310,   49,    0
115695,19380311,   40,    0
115695,19380312,   43,    0
115695,19380313,   41,    0
115695,19380314,   24,    0
115695,19380315,   24,    0
115695,19380316,   41,    0
115695,19380317,   25,    0
115695,19380318,   20,    0
115695,19380319,   15,    0
115695,19380320,   24,    0
115695,19380321,   34,    0
115695,19380322,   11,    0
115695,19380323,   23,    0
115695,19380324,   16,    0
115695,19380325,   58,    0
115695,19380326,   63,    0
115695,19380327,   52,    0
115695,19380328,   38,    0
115695,19380329,   37,    0
115695,19380330,   54,    0
115695,19380331,   46,    0
115695,19380401,   34,    0
115695,19380402,   53,    0
115695,19380403,   84,    0
115695,19380404,   34,    0
115695,19380405,   30,    0
115695,19380406,   33,    0
115695,19380407,   38,    0
115695,19380408,   48,    0
115695,19380409,   49,    0
115695,19380410,   63,    0
115695,19380411,   44,    0
115695,19380412,   41,    0
115695,19380413,   31,    0
115695,19380414,   38,    0
115695,19380415,   49,    0
115695,19380416,   52,    0
115695,19380417,   65,    0
115695,19380418,   34,    0
115695,19380419,   27,    0
115695,19380420,   37,    0
115695,19380421,   38,    0
115695,19380422,   29,    0
115695,19380423,   29,    0
115695,19380424,   23,    0
115695,19380425,   30,    0
115695,19380426,   56,    0
115695,19380427,   47,    0
115695,19380428,   39,    0
115695,19380429,   30,    0
115695,19380430,   20,    0
115695,19380501,   18,    0
115695,19380502,   17,    0
115695,19380503,   56,    0
115695,19380504,   82,    0
115695,19380505,   70,    0
115695,19380506,   47,    0
115695,19380507,   46,    0
115695,19380508,   48,    0
115695,19380509,   38,    0
115695,19380510,   51,    0
115695,19380511,   51,    0
115695,19380512,   27,    0
115695,19380513,   20,    0
115695,19380514,   33,    0
115695,19380515,   55,    0
115695,19380516,   34,    0
115695,19380517,   50,    0
115695,19380518,   61,    0
115695,19380519,   22,    0
115695,19380520,   26,    0
115695,19380521,   46,    0
115695,19380522,   47,    0
115695,19380523,   27,    0
115695,19380524,   41,    0
115695,19380525,   28,    0
115695,19380526,   25,    0
115695,19380527,   49,    0
115695,19380528,   57,    0
115695,19380529,   76,    0
115695,19380530,  107,    0
115695,19380531,   62,    0
115695,19380601,   48,    0
115695,19380602,   72,    0
115695,19380603,   35,    0
115695,19380604,   35,    0
115695,19380605,   33,    0
115695,19380606,   19,    0
